League,Split,Date,Game,Blue Team,Red Team,First Blood,First Tower,First Dragon,First Inhibitor,First Baron,Winner,Loser
1,1,2020/06/13,1,100,eg,eg,100,100,eg,eg,eg,100
1,1,2020/06/13,1,c9,fly,fly,c9,c9,c9,c9,c9,fly
1,1,2020/06/13,1,eg,clg,eg,eg,eg,eg,eg,eg,clg
1,1,2020/06/13,1,tsm,tl,tl,tl,tl,tl,tl,tl,tsm
1,1,2020/06/13,1,imt,fly,fly,imt,fly,fly,fly,fly,imt
1,1,2020/06/13,1,gg,dig,gg,gg,gg,gg,gg,gg,dig
1,1,2020/06/14,1,c9,100,100,c9,100,c9,c9,c9,100
1,1,2020/06/14,1,dig,tsm,tsm,tsm,tsm,tsm,tsm,tsm,dig
1,1,2020/06/14,1,tl,gg,tl,gg,tl,tl,tl,tl,gg
1,1,2020/06/14,1,imt,clg,imt,clg,clg,clg,clg,clg,imt
1,1,2020/06/20,1,clg,gg,clg,clg,clg,clg,clg,clg,gg
1,1,2020/06/20,1,imt,tsm,tsm,tsm,imt,tsm,tsm,tsm,imt
1,1,2020/06/20,1,tl,100,tl,tl,tl,tl,tl,tl,100
1,1,2020/06/20,1,tsm,fly,-,-,-,-,-,-,-
1,1,2020/06/20,1,c9,eg,c9,c9,c9,c9,c9,c9,eg
1,1,2020/06/20,1,dig,clg,dig,dig,clg,clg,dig,clg,dig
1,1,2020/06/21,1,eg,tl,tl,eg,tl,eg,eg,eg,tl
1,1,2020/06/21,1,fly,dig,dig,fly,dig,fly,fly,fly,dig
1,1,2020/06/21,1,gg,c9,c9,c9,c9,c9,c9,c9,gg
1,1,2020/06/21,1,100,imt,100,100,imt,100,100,100,imt
1,1,2020/06/27,1,fly,clg,fly,fly,clg,fly,fly,fly,clg
1,1,2020/06/27,1,tl,c9,c9,tl,c9,c9,c9,c9,tl
1,1,2020/06/27,1,clg,100,clg,100,100,clg,clg,clg,100
1,1,2020/06/27,1,tsm,eg,tsm,tsm,eg,tsm,tsm,tsm,eg
1,1,2020/06/27,1,dig,tl,dig,tl,tl,tl,tl,tl,dig
1,1,2020/06/27,1,imt,gg,gg,gg,gg,imt,,imt,gg
1,1,2020/06/28,1,100,tsm,tsm,tsm,tsm,100,100,tsm,100
1,1,2020/06/28,1,c9,imt,imt,c9,c9,c9,c9,c9,imt
1,1,2020/06/28,1,gg,fly,gg,gg,gg,gg,fly,gg,fly
1,1,2020/06/28,1,eg,dig,eg,eg,eg,eg,eg,eg,dig
